ASIN	Unidades	Tipo	Forma	PesoMin	PesoMax	Linha
B07XZH5P84	1	gato	pipeta	2.8	6.25	Bravecto
B09716SSTH	1	gato	pipeta	1.2	2.8	Bravecto Plus
B08JTLPHP9	1	cão	comprimido	2.5	5.5	Credeli
B00EOTFSNC	1	cão	comprimido	2	4.5	Bravecto
B08KSL8TLV	3	cão	comprimido	5.5	11	Credeli
B07YN8ZBV1	3	cão	pipeta	40	67	Vectra 3D
B007XHBFPC	1	cão	comprimido	2	4.5	Bravecto
B0C2ZMVG99	3	cão	pipeta	0	10	Advocate
B08JTGX5GF	1	cão	comprimido	5.5	11	Credeli
B07Y5J68X3	3	cão	comprimido	5.5	11	Credeli
B07Y2DGQMF	1	gato	pipeta	1.2	2.8	Bravecto
B07YNB7XDF	3	gato	pipeta	0	0	Frontline
B07YN9YTKZ	1	cão	comprimido	4.5	10	Bravecto
B07J4J9XKZ	1	cão	comprimido	4.5	10	Bravecto
B007XHBL42	1	cão	comprimido	4.5	10	Bravecto
B0CP4D9D3M	3	cão	comprimido	2	3.5	Nexgard Spectra
B0C2QLP6L8	3	cão	pipeta	10	25	Advocate
B08DLF8BFT	1	ambiente	spray	0	0	Konig
B007RQ45ZQ	1	cão	comprimido	2	4.5	Bravecto
B07YN9VC87	3	cão	comprimido	2	4	Nexgard
B07B35QQPM	1	cão	comprimido	10	20	Bravecto
B0CK554XVZ	1	cão	comprimido	4.5	10	Bravecto
B0BFRXF6SC	3	cão	comprimido	11	22	Credeli
B007RQ5RF8	1	cão	comprimido	10	20	Bravecto
B0DJ1DFSV4	3	gato	pipeta	2.5	7.5	Nexgard Combo
B07M6KHQKT	3	cão	comprimido	4.1	10	Nexgard
B08ZT5Q6F6	6	cão	comprimido	4.1	10	Nexgard
B07Y2D7R2V	1	cão	pipeta	10	20	Bravecto
B09714K4H5	1	gato	pipeta	6.25	12.5	Bravecto Plus
B0CK5295Z4	1	cão	comprimido	10	20	Bravecto
B07Y5MKPF2	3	cão	comprimido	4.1	10	Nexgard
B007RQAOZQ	1	cão	comprimido	40	56	Bravecto
B0CP4DVW59	3	cão	comprimido	3.6	7.5	Nexgard Spectra
B0D1DXNRP4	3	cão	pipeta	25	40	Advocate
B007RP1V0E	1	cão	comprimido	10	20	Bravecto
B08G86YKBL	1	cão	comprimido	20	40	Bravecto
B07Y8P9LC2	1	cão	comprimido	40	56	Bravecto
B0CP4FWQW9	3	cão	comprimido	7.6	15	Nexgard Spectra
B07YNBTZH1	2	cão	comprimido	4	10	Nexgard
B0FH3V8PKH	1	cão	comprimido	40	56	Bravecto
B07YN9J1JN	3	cão	comprimido	4	10	Nexgard
B09SS5JKKB	20	cão/gato	comprimido	11.4	57	Invicto
B0B5M6VNZL	1	cão	comprimido	10	20	Bravecto
B0BF16DBM7	3	cão	pipeta	10	25	Advocate
B07S8BMFPD	3	cão	comprimido	10.1	25	Nexgard
B07YNBH6GD	2	cão	comprimido	10	25	Nexgard
B0CK52R56W	1	cão	comprimido	10	20	Bravecto
B0F5FSSV9W	1	cão	comprimido	20	40	Bravecto
B08WRGWV8K	1	cão	comprimido	20	40	Bravecto
B0CK53VL3S	1	cão	comprimido	20	40	Bravecto
B09SRWQJRB	20	cão	comprimido	11.4	57	Invicto
B007XHBKDO	1	cão	comprimido	10	20	Bravecto
B07NH62MTM	3	cão	comprimido	27	54	Comfortis
B07YNB1JG2	3	cão	comprimido	10	25	Nexgard
B07Z5FRCF6	1	cão	pipeta	40	56	Bravecto
B007RQANMK	1	cão	comprimido	40	56	Bravecto
